seed,acc,prec,recall
1,0.8022598870056498,0.8235294117647058,0.6176470588235294
2,0.7966101694915254,0.7962962962962963,0.6323529411764706
3,0.7966101694915254,0.7962962962962963,0.6323529411764706
4,0.8022598870056498,0.7894736842105263,0.6617647058823529
5,0.8135593220338984,0.8431372549019608,0.6323529411764706
6,0.7909604519774012,0.7818181818181819,0.6323529411764706
7,0.8022598870056498,0.7894736842105263,0.6617647058823529
8,0.7909604519774012,0.803921568627451,0.6029411764705882
9,0.7966101694915254,0.82,0.6029411764705882
10,0.7909604519774012,0.7924528301886793,0.6176470588235294
11,0.807909604519774,0.8541666666666666,0.6029411764705882
12,0.8022598870056498,0.8235294117647058,0.6176470588235294
13,0.807909604519774,0.84,0.6176470588235294
14,0.807909604519774,0.8269230769230769,0.6323529411764706
15,0.7966101694915254,0.7857142857142857,0.6470588235294118
16,0.807909604519774,0.84,0.6176470588235294
17,0.7853107344632768,0.7678571428571429,0.6323529411764706
18,0.7966101694915254,0.82,0.6029411764705882
19,0.7966101694915254,0.82,0.6029411764705882
20,0.7909604519774012,0.7818181818181819,0.6323529411764706
21,0.7966101694915254,0.82,0.6029411764705882
22,0.8022598870056498,0.8235294117647058,0.6176470588235294
23,0.807909604519774,0.8148148148148148,0.6470588235294118
24,0.7966101694915254,0.8076923076923077,0.6176470588235294
25,0.7909604519774012,0.7924528301886793,0.6176470588235294
26,0.7966101694915254,0.7962962962962963,0.6323529411764706
27,0.8022598870056498,0.8367346938775511,0.6029411764705882
28,0.7909604519774012,0.7818181818181819,0.6323529411764706
29,0.8022598870056498,0.8235294117647058,0.6176470588235294
30,0.7966101694915254,0.7962962962962963,0.6323529411764706
31,0.807909604519774,0.8269230769230769,0.6323529411764706
32,0.807909604519774,0.84,0.6176470588235294
33,0.807909604519774,0.84,0.6176470588235294
34,0.7853107344632768,0.7586206896551724,0.6470588235294118
35,0.8022598870056498,0.7894736842105263,0.6617647058823529
36,0.807909604519774,0.8269230769230769,0.6323529411764706
37,0.807909604519774,0.8035714285714286,0.6617647058823529
38,0.7909604519774012,0.7924528301886793,0.6176470588235294
39,0.7966101694915254,0.7962962962962963,0.6323529411764706
40,0.7909604519774012,0.7924528301886793,0.6176470588235294
41,0.8022598870056498,0.8113207547169812,0.6323529411764706
42,0.807909604519774,0.84,0.6176470588235294
43,0.807909604519774,0.8541666666666666,0.6029411764705882
44,0.7909604519774012,0.7719298245614035,0.6470588235294118
45,0.807909604519774,0.84,0.6176470588235294
46,0.7909604519774012,0.7924528301886793,0.6176470588235294
47,0.7966101694915254,0.8076923076923077,0.6176470588235294
48,0.7966101694915254,0.8076923076923077,0.6176470588235294
49,0.7966101694915254,0.7857142857142857,0.6470588235294118
50,0.7966101694915254,0.8076923076923077,0.6176470588235294
51,0.7966101694915254,0.7758620689655172,0.6617647058823529
52,0.8022598870056498,0.8235294117647058,0.6176470588235294
53,0.8135593220338984,0.8431372549019608,0.6323529411764706
54,0.8022598870056498,0.8235294117647058,0.6176470588235294
55,0.7853107344632768,0.7777777777777778,0.6176470588235294
56,0.8022598870056498,0.8113207547169812,0.6323529411764706
57,0.807909604519774,0.84,0.6176470588235294
58,0.7966101694915254,0.7962962962962963,0.6323529411764706
59,0.8022598870056498,0.8113207547169812,0.6323529411764706
60,0.807909604519774,0.84,0.6176470588235294
61,0.807909604519774,0.8035714285714286,0.6617647058823529
62,0.8192090395480226,0.86,0.6323529411764706
63,0.8022598870056498,0.8235294117647058,0.6176470588235294
64,0.807909604519774,0.84,0.6176470588235294
65,0.8022598870056498,0.8367346938775511,0.6029411764705882
66,0.7909604519774012,0.7818181818181819,0.6323529411764706
67,0.7909604519774012,0.7924528301886793,0.6176470588235294
68,0.7853107344632768,0.7678571428571429,0.6323529411764706
69,0.8022598870056498,0.8235294117647058,0.6176470588235294
70,0.8022598870056498,0.8235294117647058,0.6176470588235294
71,0.8022598870056498,0.7894736842105263,0.6617647058823529
72,0.8022598870056498,0.8235294117647058,0.6176470588235294
73,0.8192090395480226,0.8333333333333334,0.6617647058823529
74,0.7966101694915254,0.7962962962962963,0.6323529411764706
75,0.8022598870056498,0.8235294117647058,0.6176470588235294
76,0.7966101694915254,0.8076923076923077,0.6176470588235294
77,0.7853107344632768,0.7586206896551724,0.6470588235294118
78,0.7966101694915254,0.8076923076923077,0.6176470588235294
79,0.8022598870056498,0.8235294117647058,0.6176470588235294
80,0.7966101694915254,0.7962962962962963,0.6323529411764706
81,0.807909604519774,0.84,0.6176470588235294
82,0.8022598870056498,0.8235294117647058,0.6176470588235294
83,0.7909604519774012,0.7818181818181819,0.6323529411764706
84,0.8022598870056498,0.8235294117647058,0.6176470588235294
85,0.8022598870056498,0.8113207547169812,0.6323529411764706
86,0.7909604519774012,0.7924528301886793,0.6176470588235294
87,0.7966101694915254,0.7962962962962963,0.6323529411764706
88,0.7966101694915254,0.7857142857142857,0.6470588235294118
89,0.7909604519774012,0.7924528301886793,0.6176470588235294
90,0.7853107344632768,0.7777777777777778,0.6176470588235294
91,0.8022598870056498,0.8235294117647058,0.6176470588235294
92,0.807909604519774,0.84,0.6176470588235294
93,0.8022598870056498,0.7894736842105263,0.6617647058823529
94,0.7966101694915254,0.8076923076923077,0.6176470588235294
95,0.8022598870056498,0.8235294117647058,0.6176470588235294
96,0.7909604519774012,0.7818181818181819,0.6323529411764706
97,0.7909604519774012,0.7924528301886793,0.6176470588235294
98,0.807909604519774,0.84,0.6176470588235294
99,0.7966101694915254,0.7962962962962963,0.6323529411764706
100,0.7909604519774012,0.7719298245614035,0.6470588235294118
101,0.807909604519774,0.8269230769230769,0.6323529411764706
102,0.7966101694915254,0.82,0.6029411764705882
103,0.8022598870056498,0.8235294117647058,0.6176470588235294
104,0.807909604519774,0.84,0.6176470588235294
105,0.807909604519774,0.84,0.6176470588235294
106,0.7909604519774012,0.7818181818181819,0.6323529411764706
107,0.8022598870056498,0.8235294117647058,0.6176470588235294
108,0.7853107344632768,0.7586206896551724,0.6470588235294118
109,0.8022598870056498,0.8113207547169812,0.6323529411764706
110,0.8022598870056498,0.8235294117647058,0.6176470588235294
111,0.7909604519774012,0.7818181818181819,0.6323529411764706
112,0.7966101694915254,0.7857142857142857,0.6470588235294118
113,0.7909604519774012,0.7818181818181819,0.6323529411764706
114,0.7909604519774012,0.7818181818181819,0.6323529411764706
115,0.7909604519774012,0.7818181818181819,0.6323529411764706
116,0.7909604519774012,0.7818181818181819,0.6323529411764706
117,0.7909604519774012,0.7924528301886793,0.6176470588235294
118,0.8022598870056498,0.8113207547169812,0.6323529411764706
119,0.8022598870056498,0.8113207547169812,0.6323529411764706
120,0.807909604519774,0.8035714285714286,0.6617647058823529
