seed,acc,prec,recall
199.0,0.799,0.739,0.739
200.0,0.782,0.734,0.681
201.0,0.788,0.725,0.725
202.0,0.793,0.75,0.696
203.0,0.799,0.754,0.71
204.0,0.788,0.746,0.681
205.0,0.799,0.746,0.725
206.0,0.804,0.743,0.754
207.0,0.804,0.736,0.768
208.0,0.804,0.743,0.754
209.0,0.816,0.773,0.739
210.0,0.793,0.735,0.725
211.0,0.788,0.738,0.696
212.0,0.788,0.725,0.725
213.0,0.793,0.735,0.725
214.0,0.799,0.732,0.754
215.0,0.81,0.754,0.754
216.0,0.799,0.732,0.754
217.0,0.804,0.75,0.739
218.0,0.81,0.769,0.725
219.0,0.799,0.732,0.754
220.0,0.81,0.746,0.768
221.0,0.81,0.746,0.768
222.0,0.793,0.735,0.725
223.0,0.793,0.729,0.739
224.0,0.799,0.726,0.768
225.0,0.793,0.729,0.739
226.0,0.804,0.758,0.725
227.0,0.804,0.736,0.768
228.0,0.799,0.746,0.725
229.0,0.793,0.729,0.739
230.0,0.788,0.738,0.696
231.0,0.793,0.735,0.725
232.0,0.788,0.738,0.696
233.0,0.799,0.732,0.754
234.0,0.782,0.727,0.696
235.0,0.799,0.739,0.739
236.0,0.804,0.766,0.71
237.0,0.804,0.743,0.754
238.0,0.793,0.735,0.725
239.0,0.81,0.754,0.754
240.0,0.81,0.761,0.739
241.0,0.793,0.722,0.754
242.0,0.799,0.732,0.754
243.0,0.804,0.75,0.739
244.0,0.799,0.746,0.725
245.0,0.804,0.758,0.725
246.0,0.793,0.735,0.725
247.0,0.788,0.738,0.696
248.0,0.788,0.738,0.696
249.0,0.793,0.75,0.696
250.0,0.799,0.746,0.725
251.0,0.793,0.75,0.696
252.0,0.804,0.758,0.725
253.0,0.793,0.75,0.696
254.0,0.799,0.746,0.725
255.0,0.804,0.758,0.725
256.0,0.777,0.716,0.696
257.0,0.804,0.743,0.754
258.0,0.793,0.742,0.71
259.0,0.804,0.758,0.725
260.0,0.777,0.723,0.681
261.0,0.799,0.746,0.725
262.0,0.793,0.735,0.725
263.0,0.804,0.743,0.754
264.0,0.782,0.727,0.696
265.0,0.799,0.746,0.725
266.0,0.793,0.735,0.725
267.0,0.788,0.725,0.725
268.0,0.793,0.716,0.768
269.0,0.804,0.75,0.739
270.0,0.804,0.758,0.725
271.0,0.782,0.714,0.725
272.0,0.793,0.729,0.739
273.0,0.816,0.75,0.783
274.0,0.788,0.738,0.696
275.0,0.804,0.758,0.725
276.0,0.804,0.736,0.768
277.0,0.799,0.732,0.754
278.0,0.782,0.721,0.71
279.0,0.799,0.746,0.725
280.0,0.799,0.732,0.754
281.0,0.793,0.742,0.71
282.0,0.804,0.75,0.739
283.0,0.81,0.761,0.739
284.0,0.804,0.736,0.768
285.0,0.81,0.754,0.754
286.0,0.799,0.732,0.754
287.0,0.799,0.726,0.768
288.0,0.788,0.731,0.71
289.0,0.788,0.725,0.725
290.0,0.816,0.765,0.754
291.0,0.793,0.722,0.754
292.0,0.793,0.722,0.754
293.0,0.799,0.732,0.754
294.0,0.799,0.746,0.725
295.0,0.793,0.729,0.739
296.0,0.804,0.743,0.754
297.0,0.799,0.739,0.739
298.0,0.793,0.722,0.754
299.0,0.788,0.731,0.71
300.0,0.793,0.735,0.725
301.0,0.816,0.757,0.768
302.0,0.816,0.757,0.768
303.0,0.782,0.742,0.667
304.0,0.804,0.743,0.754
305.0,0.799,0.732,0.754
306.0,0.804,0.736,0.768
307.0,0.788,0.738,0.696
308.0,0.788,0.725,0.725
309.0,0.804,0.736,0.768
310.0,0.793,0.75,0.696
311.0,0.788,0.738,0.696
312.0,0.804,0.766,0.71
313.0,0.782,0.742,0.667
314.0,0.788,0.731,0.71
315.0,0.782,0.721,0.71
316.0,0.788,0.725,0.725
317.0,0.804,0.743,0.754
318.0,0.777,0.704,0.725
319.0,0.793,0.722,0.754
320.0,0.81,0.769,0.725
321.0,0.804,0.75,0.739
322.0,0.782,0.734,0.681
323.0,0.793,0.735,0.725
324.0,0.804,0.743,0.754
325.0,0.788,0.718,0.739
326.0,0.799,0.739,0.739
327.0,0.782,0.727,0.696
328.0,0.804,0.758,0.725
329.0,0.804,0.75,0.739
330.0,0.804,0.736,0.768
331.0,0.782,0.727,0.696
332.0,0.793,0.716,0.768
333.0,0.799,0.732,0.754
334.0,0.804,0.75,0.739
335.0,0.799,0.746,0.725
336.0,0.804,0.743,0.754
337.0,0.793,0.722,0.754
338.0,0.799,0.746,0.725
339.0,0.799,0.726,0.768
340.0,0.799,0.732,0.754
341.0,0.804,0.758,0.725
342.0,0.771,0.712,0.681
343.0,0.799,0.746,0.725
344.0,0.804,0.743,0.754
345.0,0.804,0.743,0.754
346.0,0.793,0.722,0.754
347.0,0.788,0.725,0.725
348.0,0.788,0.718,0.739
349.0,0.799,0.732,0.754
350.0,0.788,0.718,0.739
351.0,0.804,0.758,0.725
352.0,0.788,0.725,0.725
353.0,0.799,0.726,0.768
354.0,0.788,0.738,0.696
355.0,0.788,0.718,0.739
356.0,0.799,0.732,0.754
357.0,0.793,0.729,0.739
358.0,0.788,0.725,0.725
359.0,0.81,0.769,0.725
360.0,0.788,0.725,0.725
361.0,0.793,0.735,0.725
362.0,0.793,0.735,0.725
363.0,0.804,0.758,0.725
364.0,0.804,0.758,0.725
365.0,0.799,0.746,0.725
366.0,0.799,0.754,0.71
367.0,0.804,0.774,0.696
368.0,0.788,0.725,0.725
369.0,0.816,0.757,0.768
370.0,0.81,0.754,0.754
371.0,0.81,0.746,0.768
372.0,0.799,0.726,0.768
373.0,0.804,0.743,0.754
374.0,0.793,0.729,0.739
375.0,0.804,0.766,0.71
376.0,0.788,0.731,0.71
377.0,0.788,0.725,0.725
378.0,0.788,0.731,0.71
379.0,0.799,0.732,0.754
380.0,0.788,0.746,0.681
381.0,0.793,0.735,0.725
382.0,0.793,0.735,0.725
383.0,0.799,0.746,0.725
384.0,0.793,0.729,0.739
385.0,0.782,0.714,0.725
386.0,0.788,0.738,0.696
387.0,0.788,0.725,0.725
388.0,0.793,0.729,0.739
389.0,0.799,0.732,0.754
390.0,0.793,0.729,0.739
391.0,0.81,0.746,0.768
392.0,0.804,0.75,0.739
393.0,0.81,0.769,0.725
394.0,0.804,0.743,0.754
395.0,0.81,0.746,0.768
396.0,0.788,0.731,0.71
397.0,0.793,0.735,0.725
398.0,0.81,0.746,0.768
399.0,0.799,0.746,0.725
400.0,0.793,0.722,0.754
401.0,0.793,0.722,0.754
402.0,0.804,0.736,0.768
403.0,0.788,0.746,0.681
404.0,0.799,0.732,0.754
405.0,0.799,0.726,0.768
406.0,0.799,0.732,0.754
407.0,0.799,0.732,0.754
408.0,0.799,0.732,0.754
409.0,0.799,0.746,0.725
410.0,0.788,0.731,0.71
411.0,0.788,0.738,0.696
412.0,0.782,0.714,0.725
413.0,0.793,0.735,0.725
414.0,0.804,0.75,0.739
415.0,0.799,0.746,0.725
416.0,0.804,0.758,0.725
417.0,0.793,0.742,0.71
418.0,0.81,0.761,0.739
419.0,0.793,0.729,0.739
420.0,0.804,0.743,0.754
421.0,0.788,0.725,0.725
422.0,0.793,0.735,0.725
423.0,0.777,0.73,0.667
424.0,0.777,0.704,0.725
425.0,0.821,0.768,0.768
426.0,0.799,0.754,0.71
427.0,0.804,0.758,0.725
428.0,0.804,0.743,0.754
429.0,0.799,0.746,0.725
430.0,0.799,0.754,0.71
431.0,0.799,0.746,0.725
432.0,0.793,0.742,0.71
433.0,0.799,0.754,0.71
434.0,0.799,0.726,0.768
435.0,0.793,0.722,0.754
436.0,0.788,0.731,0.71
437.0,0.793,0.742,0.71
438.0,0.804,0.75,0.739
439.0,0.81,0.769,0.725
440.0,0.799,0.746,0.725
441.0,0.804,0.736,0.768
442.0,0.81,0.754,0.754
443.0,0.788,0.738,0.696
444.0,0.799,0.732,0.754
445.0,0.799,0.739,0.739
446.0,0.799,0.739,0.739
447.0,0.793,0.742,0.71
448.0,0.804,0.75,0.739
449.0,0.804,0.736,0.768
450.0,0.788,0.731,0.71
451.0,0.788,0.725,0.725
452.0,0.793,0.735,0.725
453.0,0.804,0.758,0.725
454.0,0.804,0.75,0.739
455.0,0.799,0.739,0.739
456.0,0.788,0.738,0.696
457.0,0.799,0.739,0.739
458.0,0.793,0.735,0.725
459.0,0.788,0.725,0.725
460.0,0.788,0.738,0.696
461.0,0.793,0.716,0.768
462.0,0.799,0.732,0.754
463.0,0.799,0.746,0.725
464.0,0.799,0.726,0.768
465.0,0.799,0.739,0.739
466.0,0.804,0.75,0.739
467.0,0.799,0.754,0.71
468.0,0.799,0.746,0.725
469.0,0.793,0.735,0.725
470.0,0.793,0.735,0.725
471.0,0.799,0.746,0.725
472.0,0.799,0.739,0.739
473.0,0.771,0.706,0.696
474.0,0.804,0.75,0.739
475.0,0.799,0.732,0.754
476.0,0.793,0.742,0.71
477.0,0.804,0.75,0.739
478.0,0.799,0.732,0.754
479.0,0.804,0.743,0.754
480.0,0.793,0.735,0.725
481.0,0.788,0.731,0.71
482.0,0.799,0.732,0.754
483.0,0.799,0.732,0.754
484.0,0.793,0.722,0.754
485.0,0.799,0.732,0.754
486.0,0.777,0.704,0.725
487.0,0.799,0.746,0.725
488.0,0.799,0.732,0.754
489.0,0.788,0.738,0.696
490.0,0.81,0.746,0.768
491.0,0.799,0.746,0.725
492.0,0.788,0.738,0.696
493.0,0.804,0.75,0.739
494.0,0.804,0.743,0.754
495.0,0.804,0.743,0.754
496.0,0.799,0.754,0.71
497.0,0.793,0.742,0.71
498.0,0.804,0.743,0.754
499.0,0.782,0.714,0.725
500.0,0.799,0.732,0.754
501.0,0.793,0.742,0.71
502.0,0.799,0.732,0.754
503.0,0.793,0.729,0.739
504.0,0.793,0.729,0.739
505.0,0.782,0.742,0.667
506.0,0.81,0.769,0.725
507.0,0.799,0.726,0.768
508.0,0.81,0.769,0.725
509.0,0.788,0.718,0.739
510.0,0.793,0.75,0.696
511.0,0.804,0.743,0.754
512.0,0.793,0.735,0.725
513.0,0.804,0.75,0.739
514.0,0.799,0.726,0.768
515.0,0.799,0.754,0.71
516.0,0.793,0.735,0.725
517.0,0.788,0.712,0.754
518.0,0.799,0.746,0.725
519.0,0.799,0.726,0.768
520.0,0.793,0.735,0.725
521.0,0.793,0.722,0.754
522.0,0.81,0.754,0.754
523.0,0.804,0.758,0.725
524.0,0.799,0.732,0.754
525.0,0.793,0.729,0.739
526.0,0.788,0.725,0.725
527.0,0.804,0.758,0.725
528.0,0.804,0.758,0.725
529.0,0.804,0.758,0.725
530.0,0.81,0.761,0.739
531.0,0.81,0.769,0.725
532.0,0.799,0.732,0.754
533.0,0.793,0.735,0.725
534.0,0.799,0.746,0.725
535.0,0.799,0.739,0.739
536.0,0.793,0.75,0.696
537.0,0.799,0.739,0.739
538.0,0.804,0.75,0.739
539.0,0.804,0.75,0.739
540.0,0.804,0.766,0.71
541.0,0.799,0.732,0.754
542.0,0.799,0.726,0.768
543.0,0.81,0.746,0.768
544.0,0.799,0.732,0.754
545.0,0.793,0.735,0.725
546.0,0.799,0.746,0.725
547.0,0.804,0.75,0.739
548.0,0.788,0.731,0.71
549.0,0.804,0.766,0.71
550.0,0.799,0.746,0.725
551.0,0.804,0.736,0.768
552.0,0.799,0.732,0.754
553.0,0.799,0.746,0.725
554.0,0.816,0.773,0.739
555.0,0.799,0.762,0.696
556.0,0.804,0.743,0.754
557.0,0.793,0.75,0.696
558.0,0.793,0.742,0.71
559.0,0.799,0.739,0.739
560.0,0.793,0.722,0.754
561.0,0.804,0.75,0.739
562.0,0.804,0.75,0.739
563.0,0.799,0.746,0.725
564.0,0.793,0.722,0.754
565.0,0.799,0.732,0.754
566.0,0.804,0.743,0.754
567.0,0.793,0.75,0.696
568.0,0.793,0.735,0.725
569.0,0.799,0.746,0.725
570.0,0.799,0.732,0.754
571.0,0.799,0.746,0.725
572.0,0.804,0.736,0.768
573.0,0.799,0.746,0.725
574.0,0.793,0.735,0.725
575.0,0.788,0.738,0.696
576.0,0.799,0.739,0.739
577.0,0.804,0.743,0.754
578.0,0.793,0.75,0.696
579.0,0.804,0.75,0.739
580.0,0.804,0.743,0.754
581.0,0.788,0.738,0.696
582.0,0.793,0.75,0.696
583.0,0.804,0.743,0.754
584.0,0.788,0.746,0.681
585.0,0.793,0.722,0.754
586.0,0.799,0.762,0.696
587.0,0.804,0.766,0.71
588.0,0.793,0.729,0.739
589.0,0.799,0.732,0.754
590.0,0.799,0.726,0.768
591.0,0.81,0.769,0.725
592.0,0.799,0.739,0.739
593.0,0.799,0.732,0.754
594.0,0.81,0.746,0.768
595.0,0.799,0.739,0.739
596.0,0.799,0.732,0.754
597.0,0.793,0.735,0.725
598.0,0.788,0.725,0.725
599.0,0.799,0.726,0.768
600.0,0.804,0.75,0.739
601.0,0.782,0.727,0.696
602.0,0.804,0.75,0.739
603.0,0.788,0.725,0.725
604.0,0.793,0.742,0.71
605.0,0.793,0.758,0.681
606.0,0.799,0.732,0.754
607.0,0.799,0.746,0.725
608.0,0.788,0.738,0.696
609.0,0.804,0.75,0.739
610.0,0.804,0.736,0.768
611.0,0.799,0.746,0.725
612.0,0.799,0.746,0.725
613.0,0.793,0.758,0.681
614.0,0.782,0.721,0.71
615.0,0.799,0.726,0.768
616.0,0.804,0.75,0.739
617.0,0.788,0.738,0.696
618.0,0.793,0.729,0.739
619.0,0.81,0.761,0.739
620.0,0.793,0.722,0.754
621.0,0.788,0.725,0.725
622.0,0.799,0.732,0.754
623.0,0.788,0.746,0.681
624.0,0.799,0.739,0.739
625.0,0.799,0.732,0.754
626.0,0.804,0.758,0.725
627.0,0.804,0.75,0.739
628.0,0.799,0.746,0.725
629.0,0.799,0.732,0.754
630.0,0.788,0.725,0.725
631.0,0.81,0.746,0.768
632.0,0.804,0.75,0.739
633.0,0.793,0.735,0.725
634.0,0.81,0.769,0.725
635.0,0.81,0.761,0.739
636.0,0.799,0.732,0.754
637.0,0.804,0.743,0.754
638.0,0.793,0.75,0.696
639.0,0.799,0.746,0.725
640.0,0.782,0.727,0.696
641.0,0.799,0.739,0.739
642.0,0.81,0.746,0.768
643.0,0.799,0.732,0.754
644.0,0.793,0.729,0.739
645.0,0.799,0.732,0.754
646.0,0.788,0.725,0.725
647.0,0.788,0.746,0.681
648.0,0.81,0.761,0.739
649.0,0.799,0.746,0.725
650.0,0.788,0.731,0.71
651.0,0.799,0.746,0.725
652.0,0.804,0.75,0.739
653.0,0.816,0.757,0.768
654.0,0.788,0.731,0.71
655.0,0.804,0.743,0.754
656.0,0.804,0.736,0.768
657.0,0.788,0.731,0.71
658.0,0.804,0.743,0.754
659.0,0.799,0.739,0.739
660.0,0.793,0.742,0.71
661.0,0.793,0.735,0.725
662.0,0.804,0.758,0.725
663.0,0.804,0.758,0.725
664.0,0.799,0.739,0.739
665.0,0.799,0.754,0.71
666.0,0.782,0.714,0.725
667.0,0.816,0.773,0.739
668.0,0.782,0.721,0.71
669.0,0.788,0.731,0.71
670.0,0.788,0.738,0.696
671.0,0.81,0.761,0.739
672.0,0.804,0.75,0.739
673.0,0.81,0.769,0.725
674.0,0.788,0.718,0.739
675.0,0.793,0.735,0.725
676.0,0.81,0.746,0.768
677.0,0.788,0.738,0.696
678.0,0.799,0.746,0.725
679.0,0.788,0.746,0.681
680.0,0.793,0.75,0.696
681.0,0.793,0.735,0.725
682.0,0.81,0.746,0.768
683.0,0.81,0.761,0.739
684.0,0.81,0.769,0.725
685.0,0.81,0.761,0.739
686.0,0.816,0.757,0.768
687.0,0.793,0.742,0.71
